,decision
0,false
1,false
2,false
3,false
4,true
5,false
6,false
7,true
8,false
9,false
10,true
11,true
12,true
13,true
14,false
15,false
16,true
17,true
18,false
19,true
20,true
21,false
22,false
23,false
24,true
25,false
26,false
27,false
28,false
29,true
30,true
31,false
32,false
33,false
34,false
35,false
36,false
37,true
38,true
39,false
40,false
41,false
42,true
43,false
44,false
45,true
46,true
47,false
48,false
49,false
50,true
51,true
52,true
53,true
54,false
55,true
56,false
57,false
58,false
59,true
60,false
61,false
62,false
63,true
64,false
65,false
66,true
67,false
68,true
69,false
70,false
71,true
72,false
73,false
74,false
75,false
76,false
77,false
78,true
79,false
